ticks,adult,child,cost-benefit,generations,gene,median-children,median-education
59,0.05,0.85,0.85,3.64,3.194,0.5,5
68,0.05,0.75,0.3,3.66,4.007,1,6
63,0.05,0.2,0.1,3.66,4.078,0,4
70,0.05,0.85,0.55,3.66,6.882,2,8
70,0.05,0.85,0.3,3.66,8.08,0,10
79,0.05,0.7,0.4,3.69,1.13,6,3
76,0.05,0.85,0.35,3.69,2.147,6,4
82,0.05,0.25,0.1,3.69,2.423,4,4
95,0.05,0.75,0.75,3.69,3.092,6,5
75,0.05,0.85,0.55,3.69,7.747,3,9
72,0.05,0.85,0.4,3.72,7.777,2,9
78,0.05,0.85,0.85,3.75,0.063,8,2
69,0.05,0.55,0.15,3.75,0.461,5,2
66,0.05,0.35,0.15,3.75,2.232,3,4
80,0.05,0.8,0.6,3.75,2.784,9,4
74,0.05,0.2,0.1,3.75,2.9,1,4
77,0.05,0.75,0.7,3.75,2.988,9,4
77,0.05,0.75,0.8,3.75,3.695,9,5
66,0.05,0.85,0.7,3.75,5.131,0,7
79,0.05,0.85,0.55,3.75,7.913,6,9
84,0.05,0.85,0.65,3.75,8.126,6,10
63,0.05,0.8,0.45,3.75,8.19,3,10
88,0.05,0.8,0.4,3.75,9.056,4,11
64,0.05,0.85,1,3.78,9.721,2,11
71,0.05,0.75,0.65,3.78,9.795,6,11
70,0.05,0.8,0.95,3.81,0.595,2,2
71,0.05,0.8,0.45,3.81,4.531,4,6
80,0.05,0.85,0.8,3.81,5.342,1,7
71,0.05,0.85,0.65,3.81,7.23,1,9
75,0.05,0.8,0.55,3.81,7.978,6,9
80,0.05,0.75,0.8,3.81,9.208,2,11
68,0.05,0.85,0.35,3.83,6.096,2,8
82,0.05,0.65,0.65,3.84,4.469,7,6
79,0.05,0.2,0.1,3.88,0.287,2,2
78,0.05,0.6,0.15,3.88,0.574,0,2
70,0.05,0.75,0.2,3.88,0.666,0,2
77,0.05,0.3,0.1,3.88,0.88,1,2
80,0.05,0.8,0.8,3.88,0.983,4,2
66,0.05,0.85,0.8,3.88,1.962,1,3
65,0.05,0.9,0.3,3.88,2.292,8,4
61,0.05,0.2,0.1,3.88,4.272,1,6
76,0.05,0.2,0.1,3.88,5.418,4,0
87,0.05,0.75,0.7,3.88,8.355,9,10
71,0.05,0.8,0.6,3.88,8.797,4,10
72,0.05,0.9,0.65,3.88,9.434,2,11
77,0.05,0.85,0.8,3.88,9.631,3,11
74,0.05,0.8,1,3.89,2.093,4,4
64,0.05,0.45,0.15,3.91,0.933,2.5,2
79,0.05,0.75,0.5,3.91,3.451,0,5
86,0.05,0.45,0.15,3.94,0.158,3,2
69,0.05,0.85,0.9,3.94,0.536,2,2
73,0.05,0.6,0.15,3.94,0.926,1,2
84,0.05,0.8,0.95,3.94,1.886,4,3
78,0.05,0.8,0.35,3.94,1.924,4,3
72,0.05,0.85,0.35,3.94,6.796,6,8
77,0.05,0.4,0.15,3.94,8.885,2,10
70,0.05,0.4,0.15,3.95,0.072,1.5,2
68,0.05,0.25,0.1,3.95,1.641,2,2
72,0.05,0.65,0.25,3.95,7.63,1,9
72,0.05,0.8,0.45,3.97,3.667,0,5
82,0.05,0.85,1,3.97,8.567,5,10
94,0.05,0.85,0.9,3.97,8.975,6,10
75,0.05,0.75,0.3,3.98,4.262,4,6
74,0.05,0.6,0.2,4,0.965,4,2
85,0.05,0.25,0.1,4,0.984,3,2
82,0.05,0.75,0.25,4,1.442,6,3
88,0.05,0.65,0.25,4,2.479,5,4
64,0.05,0.8,0.3,4,2.974,2,4
67,0.05,0.9,0.9,4,9.214,3,11
80,0.05,0.75,0.3,4.02,4.235,4,6
72,0.05,0.8,0.55,4.03,0.731,2,2
78,0.05,0.65,0.2,4.03,1.438,2,3
72,0.05,0.75,0.25,4.03,3.211,8,5
78,0.05,0.8,0.95,4.03,6.164,4,8
79,0.05,0.8,0.9,4.03,9.022,2,11
73,0.05,0.75,0.4,4.05,1.405,2.5,3
72,0.05,0.85,0.9,4.05,2.545,4,4
75,0.05,0.8,0.35,4.06,0.056,4,2
89,0.05,0.5,0.2,4.06,0.114,8,2
74,0.05,0.85,0.35,4.06,0.139,0,2
67,0.05,0.9,1,4.06,0.736,4,2
83,0.05,0.8,0.8,4.06,0.819,0,2
83,0.05,0.75,0.65,4.06,3.787,4,5
84,0.05,0.75,0.75,4.06,9.213,1,11
94,0.05,0.75,0.5,4.08,6.539,7,8
75,0.05,0.6,0.2,4.09,0.542,3,2
84,0.05,0.8,0.9,4.09,1.466,5,3
67,0.05,0.7,0.25,4.09,3.152,8,5
75,0.05,0.8,0.35,4.13,0.095,0,2
74,0.05,0.35,0.15,4.13,0.237,0,0
76,0.05,0.55,0.15,4.13,0.406,4,2
72,0.05,0.5,0.15,4.13,0.835,1,2
80,0.05,0.85,0.55,4.13,3.685,3,5
86,0.05,0.8,0.5,4.13,4.571,2,6
85,0.05,0.8,0.5,4.13,6.214,8,8
81,0.05,0.7,0.35,4.13,7.236,4,9
85,0.05,0.8,1,4.13,7.743,5,9
72,0.05,0.85,0.95,4.13,9.012,3,11
81,0.05,0.8,1,4.13,9.905,3,11
69,0.05,0.7,0.25,4.14,2.263,0,4
72,0.05,0.5,0.2,4.16,0.371,3,2
74,0.05,0.75,0.6,4.16,7.739,3,9
78,0.05,0.8,0.6,4.16,7.869,2,9
80,0.05,0.85,0.75,4.19,0.738,1,2
73,0.05,0.75,0.25,4.19,0.988,1,2
80,0.05,0.7,0.25,4.19,1.808,2,3
87,0.05,0.8,0.35,4.19,4.138,6,6
77,0.05,0.8,0.5,4.19,6.145,0,8
65,0.05,0.85,0.45,4.2,5.059,1.5,7
72,0.05,0.9,0.45,4.2,6.436,0,8
81,0.05,0.8,0.25,4.22,4.373,0,6
73,0.05,0.75,0.55,4.22,7.43,2,9
74,0.05,0.85,0.7,4.22,9.34,0,11
64,0.05,0.8,0.85,4.23,3.4,0,5
73,0.05,0.85,0.25,4.25,0.398,2.5,2
68,0.05,0.4,0.15,4.25,0.52,2,2
77,0.05,0.7,0.2,4.25,0.912,4,2
66,0.05,0.75,0.2,4.25,1.092,1,3
66,0.05,0.65,0.2,4.25,1.935,1,0
91,0.05,0.8,0.5,4.25,2.437,7,4
77,0.05,0.8,0.65,4.25,2.956,4.5,4
94,0.05,0.8,0.55,4.25,6.087,9,8
86,0.05,0.15,0.1,4.25,6.212,0,4
78,0.05,0.85,0.65,4.25,6.744,0,8
77,0.05,0.75,0.75,4.25,7.699,5,9
86,0.05,0.9,0.9,4.27,3.882,5,5
86,0.05,0.85,0.6,4.3,1.578,3,3
85,0.05,0.85,0.9,4.31,1.501,6,3
73,0.05,0.85,0.3,4.31,3.881,0,5
81,0.05,0.75,0.95,4.31,6.989,1,8
88,0.05,0.8,0.7,4.31,8.497,8,10
80,0.05,0.15,0.1,4.31,9.66,0,11
71,0.05,0.8,0.65,4.33,6.379,2,8
68,0.05,0.2,0.1,4.34,0.418,0,2
78,0.05,0.8,0.95,4.34,3.532,3,5
79,0.05,0.65,0.2,4.34,4.291,4,6
80,0.05,0.8,0.6,4.34,5.316,7,7
83,0.05,0.85,0.5,4.36,6.389,3,8
81,0.05,0.75,0.25,4.38,0.105,0,2
90,0.05,0.85,0.7,4.38,0.993,6,2
76,0.05,0.85,0.95,4.38,1.515,0,3
70,0.05,0.7,0.3,4.38,5.194,0,7
64,0.05,0.8,0.45,4.38,7.233,2,9
76,0.05,0.75,0.3,4.38,7.993,5,9
70,0.05,0.45,0.15,4.39,2.333,3,4
78,0.05,0.8,0.3,4.39,5.105,1,7
87,0.05,0.85,0.8,4.41,0.961,2,2
96,0.05,0.3,0.15,4.41,1.435,3,3
77,0.05,0.85,0.9,4.41,1.74,4,3
90,0.05,0.25,0.1,4.41,2.166,1,1
85,0.05,0.75,0.35,4.41,4.881,3,6
86,0.05,0.85,0.8,4.41,6.874,6,8
87,0.05,0.8,0.7,4.44,0.249,6,2
73,0.05,0.8,0.85,4.44,7.108,3,9
76,0.05,0.8,0.6,4.44,8.547,4,10
71,0.05,0.8,0.6,4.44,9.798,0,11
74,0.05,0.8,0.4,4.44,9.809,2,11
83,0.05,0.65,0.25,4.45,4.812,5,6
85,0.05,0.85,0.7,4.45,8.767,5,10
86,0.05,0.4,0.15,4.47,3.801,3.5,5
78,0.05,0.8,0.5,4.47,3.879,7,5
79,0.05,0.85,0.7,4.47,3.946,2,5
69,0.05,0.8,0.95,4.47,6.515,0,8
86,0.05,0.8,0.9,4.48,1.891,6,3
82,0.05,0.75,0.75,4.48,4.116,0,6
80,0.05,0.75,0.55,4.48,9.061,2,11
77,0.05,0.9,0.75,4.49,4.903,0.5,6
81,0.05,0.85,0.7,4.5,1.909,3,3
73,0.05,0.85,0.65,4.5,2.202,0,4
85,0.05,0.75,0.75,4.5,2.347,0,4
74,0.05,0.4,0.15,4.5,2.914,3,4
83,0.05,0.7,1,4.5,7.384,4,9
63,0.05,0.75,0.95,4.5,7.618,2,9
85,0.05,0.7,0.9,4.5,9.286,4,11
85,0.05,0.75,0.55,4.52,2.945,6,4
75,0.05,0.8,1,4.52,9.41,2,11
95,0.05,0.15,0.1,4.53,0.867,3,2
82,0.05,0.4,0.15,4.53,1.855,6,3
68,0.05,0.85,0.4,4.53,7.462,0,0
89,0.05,0.8,0.55,4.53,7.625,1,9
91,0.05,0.75,1,4.53,9.545,8,11
86,0.05,0.85,0.5,4.56,0.975,8,2
84,0.05,0.25,0.1,4.56,2.201,1,4
74,0.05,0.8,0.6,4.56,2.84,0,4
74,0.05,0.4,0.15,4.56,2.969,4,4
87,0.05,0.8,0.4,4.56,3.126,6,5
93,0.05,0.8,0.45,4.56,6.607,4,8
70,0.05,0.4,0.15,4.56,7.389,0,9
77,0.05,0.75,0.3,4.57,0.653,2,2
90,0.05,0.85,0.5,4.59,0.196,4,2
74,0.05,0.8,0.4,4.59,6.053,3,8
81,0.05,0.8,0.45,4.59,6.45,10,8
64,0.05,0.35,0.15,4.63,0.272,1,2
80,0.05,0.75,0.7,4.63,0.98,3,2
70,0.05,0.65,0.3,4.63,1.353,2,3
82,0.05,0.8,0.9,4.63,9.196,7,11
78,0.05,0.55,0.2,4.64,1.41,0,3
93,0.05,0.8,0.45,4.64,2.689,5.5,4
84,0.05,0.8,0.3,4.64,2.742,3.5,4
72,0.05,0.85,0.45,4.64,5.574,0,7
78,0.05,0.85,0.35,4.65,7.303,7,9
87,0.05,0.7,0.25,4.66,0.045,3,2
82,0.05,0.65,0.2,4.66,0.882,1,2
89,0.05,0.7,0.75,4.66,2.488,0,4
80,0.05,0.7,0.5,4.66,3.777,2,5
79,0.05,0.75,0.3,4.66,4.121,2,6
69,0.05,0.7,0.3,4.66,5.393,3,7
85,0.05,0.85,0.45,4.66,7.741,4,9
75,0.05,0.8,0.6,4.66,7.933,1,9
86,0.05,0.85,0.7,4.66,9.523,3,11
79,0.05,0.7,0.9,4.67,0.382,1,2
90,0.05,0.8,0.9,4.68,9.63,9,11
68,0.05,0.75,0.6,4.69,2.439,1,4
84,0.05,0.45,0.15,4.69,3.64,4,5
81,0.05,0.8,0.8,4.69,5.574,1,7
88,0.05,0.9,0.5,4.72,6.772,3,8
85,0.05,0.8,0.75,4.72,7.933,5,9
82,0.05,0.75,0.5,4.73,1.116,0,3
84,0.05,0.75,0.75,4.73,3.975,0,5
89,0.05,0.85,0.8,4.73,5.509,2,7
98,0.05,0.8,0.85,4.73,8.345,5,10
77,0.05,0.85,0.55,4.73,8.944,2,10
82,0.05,0.8,0.7,4.74,3.942,1,5
97,0.05,0.3,0.1,4.75,0.622,1,2
89,0.05,0.85,1,4.75,0.647,5,2
104,0.05,0.8,0.35,4.75,0.797,7,2
84,0.05,0.85,1,4.75,1.91,3,3
81,0.05,0.75,0.9,4.75,9.024,5,11
96,0.05,0.75,0.25,4.76,1.357,0,3
83,0.05,0.7,0.7,4.76,5.803,3,7
87,0.05,0.2,0.1,4.77,8.956,0,1
79,0.05,0.5,0.15,4.78,0.219,1,2
86,0.05,0.35,0.15,4.78,0.618,2,2
68,0.05,0.45,0.2,4.78,1.331,1,3
90,0.05,0.8,0.4,4.78,1.655,6,3
76,0.05,0.05,0.05,4.78,2.05,0,0
73,0.05,0.35,0.15,4.78,2.655,1,4
81,0.05,0.75,0.9,4.78,4.972,0,6
79,0.05,0.8,0.7,4.78,5.234,0,7
77,0.05,0.8,0.95,4.78,8.915,7,10
94,0.05,0.65,0.65,4.78,9.36,7,11
91,0.05,0.7,0.4,4.78,9.491,4,11
90,0.05,0.85,0.8,4.78,9.732,0,11
76,0.05,0.35,0.15,4.79,3.952,0,4
74,0.05,0.8,0.55,4.79,5.076,3,7
75,0.05,0.85,0.75,4.8,2.041,2,4
75,0.05,0.85,0.65,4.8,3.404,1.5,2.5
74,0.05,0.8,0.5,4.8,5.556,1,7
93,0.05,0.75,0.9,4.8,8.019,6,10
77,0.05,0.75,0.25,4.81,1.251,0,3
91,0.05,0.75,0.45,4.81,4.447,2,6
94,0.05,0.7,0.45,4.81,5.455,0,7
80,0.05,0.85,0.85,4.81,8.249,0,10
85,0.05,0.75,0.6,4.81,8.518,6,10
78,0.05,0.7,0.9,4.83,4.51,3,6
97,0.05,0.8,0.95,4.83,5.431,6,7
95,0.05,0.8,0.9,4.83,9.553,6,11
84,0.05,0.75,0.45,4.84,2.222,2.5,4
86,0.05,0.8,0.95,4.84,8.989,0.5,10
91,0.05,0.75,0.4,4.85,5.801,5,7
75,0.05,0.75,0.4,4.86,3.125,4,5
71,0.05,0.55,0.2,4.87,0.193,2,2
86,0.05,0.8,0.75,4.87,3.225,0,5
82,0.05,0.35,0.15,4.87,6.806,1,8
78,0.05,0.8,0.6,4.88,0.168,3,2
86,0.05,0.75,0.55,4.88,0.657,1,2
83,0.05,0.15,0.1,4.88,0.919,1.5,2
82,0.05,0.55,0.2,4.88,1.74,9,3
89,0.05,0.8,0.75,4.88,5.579,0,7
78,0.05,0.85,0.75,4.88,9.791,0,0
78,0.05,0.85,0.45,4.89,3.048,0,5
90,0.05,0.75,0.4,4.89,5.77,6,7
85,0.05,0.45,0.15,4.91,0.519,2.5,2
85,0.05,0.7,0.75,4.91,6.921,4,8
91,0.05,0.75,0.45,4.91,8.363,4,10
87,0.05,0.75,0.95,4.92,6.762,5,8
83,0.05,0.85,0.8,4.93,1.597,5,3
91,0.05,0.85,0.55,4.93,3.501,5,5
73,0.05,0.25,0.1,4.94,0.04,1,2
107,0.05,0.75,0.45,4.94,0.067,2,2
93,0.05,0.5,0.2,4.94,2.553,1,4
78,0.05,0.8,0.9,4.94,3.575,4,0
93,0.05,0.8,0.85,4.95,6.094,2,8
77,0.05,0.4,0.15,4.97,0.308,0,0
104,0.05,0.7,0.35,4.97,5.913,11,7
104,0.05,0.8,0.75,4.97,7.728,8,9
86,0.05,0.75,0.9,5,1.082,5,3
107,0.05,0.8,0.95,5,2.192,8,4
100,0.05,0.75,0.9,5,2.643,1,4
89,0.05,0.75,0.75,5,6.884,2.5,8
91,0.05,0.5,0.15,5,7.133,0,9
105,0.05,0.7,0.7,5.02,2.781,7,4
89,0.05,0.8,0.6,5.03,0.604,4,2
92,0.05,0.9,0.4,5.03,0.779,1,2
101,0.05,0.6,0.2,5.03,0.933,3.5,2
86,0.05,0.75,0.8,5.03,3.705,1,5
84,0.05,0.7,0.3,5.03,3.779,2,5
93,0.05,0.75,0.95,5.03,6.999,4,8
102,0.05,0.8,0.55,5.03,7.127,7,9
85,0.05,0.75,0.5,5.03,8.202,5,10
95,0.05,0.75,0.55,5.04,5.606,5,7
92,0.05,0.75,0.9,5.05,3.528,3.5,5
95,0.05,0.75,0.4,5.05,5.912,11,7
85,0.05,0.45,0.15,5.06,0.842,1,2
105,0.05,0.5,0.2,5.06,1.233,5,3
95,0.05,0.7,0.45,5.06,3.683,6,5
83,0.05,0.7,0.65,5.06,8.718,1,10
102,0.05,0.75,1,5.08,0.566,9,2
84,0.05,0.85,0.4,5.08,5.604,2,7
93,0.05,0.8,0.55,5.09,0.011,3,2
83,0.05,0.75,0.85,5.09,3.373,4,5
94,0.05,0.6,0.4,5.11,7.333,2.5,9
79,0.05,0.7,0.95,5.11,7.426,3,9
105,0.05,0.5,0.25,5.11,8.449,9,10
82,0.05,0.85,0.8,5.12,4.51,1,6
95,0.05,0.1,0.1,5.13,0.279,1,2
82,0.05,0.5,0.15,5.13,0.862,3.5,2
94,0.05,0.7,0.65,5.13,1.889,1,3
98,0.05,0.85,0.9,5.13,4.488,5,6
98,0.05,0.8,0.7,5.13,8.726,6,10
88,0.05,0.75,1,5.13,8.876,9,10
92,0.05,0.8,0.45,5.14,9.259,6,11
78,0.05,0.7,0.4,5.16,4.123,1,6
92,0.05,0.7,0.6,5.17,0.391,4,2
